Russell,Almond,"Educational Testing Service, Princeton"
Hagai,Attias,"Microsoft Research, Cambridge"
Yoshua,Bengio,"University of Montreal"
Max,Chickering,"Microsoft Research, Redmond"
Greg,Cooper,"University of Pittsburgh"
Robert,Cowell,"City University, London"
Phil,Dawid,"University College, London"
Vanessa,Didelez,"University of Munich"
David,Dowe,"Monash University"
Brendan,Frey,"University of Waterloo"
Nir,Friedman,"Hebrew University, Jerusalem"
Dan,Geiger,"Technion"
Edward,George,"University of Texas"
Paolo,Giudici,"University of Pavia"
Zoubin,Ghahramani,"University College, London"
Clark,Glymour,"Carnegie-Mellon University"
Moises,Goldszmidt,"Peakstone Corporation"
David,Heckerman,"Microsoft Research, Redmond"
Thomas,Hofmann,"Brown University"
Reimar,Hofmann,"Siemens"
Michael I.,Jordan,"University of California, Berkeley"
David,Madigan,"Soliloquy"
Chris,Meek,"Microsoft Research, Redmond"
Marina,Meila,"Carnegie-Mellon University"
Kevin,Murphy,"University of California, Berkeley"
Mahesan,Niranjan,"University of Sheffield"
John,Platt,"Microsoft Research, Redmond"
Greg,Ridgeway,"University of Washington"
Lawrence,Saul,"AT&amp;T Research"
Prakash,Shenoy,"University of Kansas"
Dale,Schuurmans,"University of Waterloo"
Padhraic,Smyth,"University of California, Irvine"
David,Spiegelhalter,"University of Cambridge"
Peter,Spirtes,"Carnegie-Mellon University"
Milan,Studeny,"Academy of Sciences, Czech Republic"
Michael E.,Tipping,"Microsoft Research, Cambridge"
Henry,Tirri,"University of Helsinki"
Volker,Tresp,"Siemens"
Chris,Watkins,"Royal Holloway and Bedford New College"
Nanny,Wermuth,"University of Mainz"
Joe,Whittaker,"Lancaster University"
Christopher K. I., Williams,"University of Edinburgh"
